CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HouseholdIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,Telecommute,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonthly,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
3964-QJWTRG-NPN,1,2,1,20,15,1,1,0,0,31,11.1,1.200909,2.240091,1,0,3,0,0,0,0,0,2,1,0,14.3,22,,1,1,3,2,5,81.66,0,5,6.5,34.4,1,29.5,126.1,1,0,0,0,1,1,1,0,0,1,1,1,0,13,0,1,1,0,0
0648-AIPJSP-UVM,5,5,0,22,17,2,0,0,0,15,18.6,1.22202,1.56798,1,0,2,6,0,0,0,1,2,1,1,6.8,29,,1,0,2,4,5,42.6,1,39,8.9,330.6,1,54.85,1975,1,1,45.65,1683.55,1,1,1,4,1,0,1,0,1,18,1,1,1,1,1
5195-TLUDJE-HVO,3,4,1,67,14,2,0,16,0,35,9.9,0.92862,2.53638,0,1,3,3,2,1,0,1,3,1,1,18.8,24,,1,0,2,35,9,184.22,0,65,28.4,1858.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,1
4459-VLPQUH-3OL,4,3,0,23,16,2,0,0,0,20,5.7,0.0228,1.1172,1,1,5,0,0,0,0,1,3,1,1,8.7,38,,0,0,2,5,17,340.99,1,36,6,199.45,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,26,1,1,1,0,1
8158-SMTQFB-CNO,2,2,0,26,16,2,0,1,0,23,1.7,0.214659,0.176341,0,1,4,0,0,0,0,0,1,0,1,10.6,32,,0,0,4,8,8,255.1,1,21,3.05,74.1,0,0,0,1,1,19.05,410.8,0,1,0,3,1,1,1,1,0,27,1,0,1,0,0
9662-FUSYIM-1IV,4,4,0,64,17,3,0,22,0,107,5.6,1.060584,4.931416,0,0,1,11,1,1,0,1,0,-1,-1,1,23,,0,0,2,18,11,228.27,0,28,8.1,264.9,1,35.5,970.95,1,0,0,0,0,0,1,0,1,1,1,1,0,21,0,0,0,0,0
7432-QKQFJJ-K72,2,5,1,52,14,1,0,10,0,77,1.9,0.501809,0.961191,0,0,1,2,0,2,0,0,2,1,0,25.6,32,,0,0,5,3,20,822.32,0,15,3.8,44.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19,1,1,0,0,0
8959-RZWRHU-ST8,3,4,1,44,16,1,0,11,0,97,14.4,5.950368,8.017632,0,1,2,10,0,2,0,1,1,1,0,55.5,31,,0,1,1,25,6,592.7,0,46,14.85,612.7,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,13,0,0,0,0,1
9124-DZALHM-S6I,2,3,1,66,12,1,0,15,1,16,2.6,0.102336,0.313664,0,0,1,1,1,0,0,1,1,1,1,8.6,25,,1,1,3,26,12,326.59,1,53,21.05,1074.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0
3512-MUWBGY-52X,2,2,0,47,11,6,0,19,0,84,4.1,1.770216,1.673784,0,0,2,1,1,0,0,1,4,1,0,41,29,,1,1,5,2,11,199.64,1,3,3.65,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
5621-QSZPSF-NF2,4,1,1,59,19,1,0,8,0,47,8.6,1.358112,2.683888,0,0,1,7,3,0,0,0,3,1,0,28,17,,0,1,4,16,11,488.97,0,50,8.55,446.55,1,31.2,1568.35,1,0,0,0,1,0,0,3,0,1,0,0,1,26,1,1,0,0,0
8241-PWPONH-62O,2,4,1,33,8,2,0,4,0,19,0.9,0.130131,0.040869,0,1,5,6,0,0,0,0,2,1,1,9.3,28,,0,0,3,6,14,338.26,0,9,3.6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
8795-FYOXCT-P09,5,2,0,44,10,1,0,12,0,73,2.8,1.250928,0.793072,0,0,1,1,0,1,0,1,1,1,1,38.5,25,,1,1,4,1,12,534.36,0,5,6.75,29.9,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,21,1,0,0,0,0
1705-NMIQNO-IC4,3,2,0,58,18,1,0,3,0,63,10.5,1.924965,4.690035,0,0,1,0,0,0,0,1,0,-1,-1,1,16,,0,1,4,25,10,593.5,1,58,12.1,680.75,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,21,1,0,0,0,1
9205-PAZEXY-90Q,2,1,1,72,20,4,1,27,1,17,9.8,1.276156,0.389844,0,1,2,0,0,0,0,1,1,1,1,9.3,32,,1,1,3,33,12,233.17,1,67,13.9,954.05,1,38.55,2580.75,1,0,0,0,1,0,0,0,0,0,1,0,1,24,1,0,1,1,1
4225-PZZDIY-IBH,3,1,1,66,13,6,1,31,1,23,9.3,0.934743,1.204257,0,1,2,9,3,0,0,0,3,1,0,11.6,14,,1,1,3,40,9,297.47,0,72,38.7,2854.9,0,0,0,1,1,43.25,3159.25,1,1,1,1,1,1,1,1,0,22,1,0,0,1,1
0758-EQEGIQ-3OF,1,1,1,57,17,4,0,24,0,171,9.5,1.803195,14.441805,0,1,3,1,0,1,0,1,2,1,1,75.8,19,,1,0,4,19,14,305.94,1,48,4.15,214.85,1,43.15,1990.25,1,1,40.2,1840.45,0,1,1,3,1,1,0,1,1,17,1,1,1,1,0
