Region,TownSize,Gender,Age,EducationYears,JobCategory,EmploymentLength,HouseholdIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,Telecommute,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonthly,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,equivalence_class,re_identification_risk,scenario_one,scenario_two,scenario_three,scenario_four
1,2,1,24 and Under,12 - 16,1,5 and Under,10 - 40,10.91268879669067,1.6103882469334156,1.4240197818959914,1,0,3,0,0,0,0,0,2,1,0,16.670287627143033,22,,1,3,3.3468193275909517,5,81.66,0,5,6.5,34.4,1,29.5,126.1,1,0,0.0,0.0,1,1,1,0,0,1,1,1,0,13,0,1,1,0,0,1-2-1-12 - 16-1,0.058823529411764705,0.011029411764705881,0.01764705882352941,0.02029411764705882,0.058823529411764705
5,5,0,24 and Under,16 and Over,2,5 and Under,10 - 40,14.505470955735667,2.288511720269886,3.1057954066337414,1,0,2,6,0,0,0,1,2,1,1,11.775300408906476,29,,0,2,4.249234409528624,5,42.6,1,39,8.9,330.6,1,54.85,1975.0,1,1,45.65,1683.55,1,1,1,4,1,0,1,0,1,18,1,1,1,1,1,5-5-0-16 and Over-2,0.041666666666666664,0.0078125,0.012499999999999999,0.014374999999999999,0.041666666666666664
3,4,1,64 and Over,12 - 16,2,15 - 20,10 - 40,10.358417210689078,1.1882446611290134,0.9836768317425488,0,1,3,3,2,1,0,1,3,1,1,17.078315631603875,24,,0,2,35.97608317546749,9,184.22,0,65,28.4,1858.35,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,1,3-4-1-12 - 16-2,0.07692307692307693,0.014423076923076924,0.023076923076923078,0.02653846153846154,0.07692307692307693
4,3,0,24 and Under,12 - 16,2,5 and Under,10 - 40,5.609944939944927,-0.24015908430425548,2.3997940813600334,1,1,5,0,0,0,0,1,3,1,1,8.390862473544006,38,,0,2,4.224119996862769,17,340.99,1,36,6.0,199.45,0,0.0,0.0,1,0,0.0,0.0,1,0,0,2,0,0,0,0,1,26,1,1,1,0,1,4-3-0-12 - 16-2,0.06666666666666667,0.0125,0.02,0.023,0.06666666666666667
2,2,0,24 - 34,12 - 16,2,5 and Under,10 - 40,5.353883709832924,-1.457459969006335,0.6167983046111306,0,1,4,0,0,0,0,0,1,0,1,11.843820687466902,32,,0,4,8.033814494870978,8,255.1,1,21,3.05,74.1,0,0.0,0.0,1,1,19.05,410.8,0,1,0,3,1,1,1,1,0,27,1,0,1,0,0,2-2-0-12 - 16-2,0.07142857142857142,0.013392857142857142,0.021428571428571425,0.02464285714285714,0.07142857142857142
4,4,0,54 - 64,16 and Over,3,20 - 25,80 - 120,5.102447305164738,1.1371789348804309,3.900183386300524,0,0,1,11,1,1,0,1,0,-1,-1,5.153805326916888,23,,0,2,17.286815196135198,11,228.27,0,28,8.1,264.9,1,35.5,970.95,1,0,0.0,0.0,0,0,1,0,1,1,1,1,0,21,0,0,0,0,0,4-4-0-16 and Over-3,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
2,5,1,44 - 54,12 - 16,1,5 - 10,40 - 80,2.9112743940113477,0.8945010965399988,1.134099604386099,0,0,1,2,0,2,0,0,2,1,0,25.730004475823993,32,,0,5,3.654617145620958,20,822.32,0,15,3.8,44.8,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,1,0,0,19,1,1,0,0,0,2-5-1-12 - 16-1,0.2,0.037500000000000006,0.06,0.06899999999999999,0.2
3,4,1,34 - 44,12 - 16,1,10 - 15,80 - 120,16.217179056034276,5.721301557267595,8.549697102134479,0,1,2,10,0,2,0,1,1,1,0,56.39246096899269,31,,1,1,23.598091891337653,6,592.7,0,46,14.85,612.7,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,1,1,1,1,0,13,0,0,0,0,1,3-4-1-12 - 16-1,0.06666666666666667,0.0125,0.02,0.023,0.06666666666666667
2,3,1,64 and Over,6 - 12,1,10 - 15,10 - 40,3.1365569549529124,0.5263458683305909,0.5086752191054055,0,0,1,1,1,0,0,1,1,1,1,8.691736316883027,25,,1,3,23.372085957489816,12,326.59,1,53,21.05,1074.35,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2-3-1-6 - 12-1,0.1,0.018750000000000003,0.03,0.034499999999999996,0.1
2,2,0,44 - 54,6 - 12,6,15 - 20,80 - 120,4.023353633728215,0.9437397466889741,1.2621386959030194,0,0,2,1,1,0,0,1,4,1,0,38.66806855011484,29,,1,5,4.013761246305187,11,199.64,1,3,3.65,20.05,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2-2-0-6 - 12-6,0.3333333333333333,0.0625,0.09999999999999999,0.11499999999999999,0.3333333333333333
4,1,1,54 - 64,16 and Over,1,5 - 10,40 - 80,6.902859237885423,0.8283981978644973,3.6318024090466663,0,0,1,7,3,0,0,0,3,1,0,28.229992980999143,17,,1,4,15.735400037408157,11,488.97,0,50,8.55,446.55,1,31.2,1568.35,1,0,0.0,0.0,1,0,0,3,0,1,0,0,1,26,1,1,0,0,0,4-1-1-16 and Over-1,0.2,0.037500000000000006,0.06,0.06899999999999999,0.2
2,4,1,24 - 34,6 - 12,2,5 and Under,10 - 40,1.2090786748804832,-0.11176611610705967,1.1629131560752277,0,1,5,6,0,0,0,0,2,1,1,10.73023685633218,28,,0,3,5.110086720256136,14,338.26,0,9,3.6,37,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2-4-1-6 - 12-2,0.5,0.09375,0.15,0.1725,0.5
5,2,0,34 - 44,6 - 12,1,10 - 15,40 - 80,1.8384260567791655,1.0232023461093998,0.7829382553265224,0,0,1,1,0,1,0,1,1,1,1,37.73860384007113,25,,1,4,1.2891290189281661,12,534.36,0,5,6.75,29.9,0,0.0,0.0,1,0,0.0,0.0,0,0,0,1,1,1,1,1,0,21,1,0,0,0,0,5-2-0-6 - 12-1,0.14285714285714285,0.026785714285714284,0.04285714285714285,0.04928571428571428,0.14285714285714285
3,2,0,54 - 64,16 and Over,1,5 and Under,40 - 80,8.597425389086196,1.5648558981906233,4.604694140176289,0,0,1,0,0,0,0,1,0,-1,-1,2.21649812071606,16,,1,4,22.91621031851317,10,593.5,1,58,12.1,680.75,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,1,0,1,1,0,21,1,0,0,0,1,3-2-0-16 and Over-1,0.08333333333333333,0.015625,0.024999999999999998,0.028749999999999998,0.08333333333333333
2,1,1,64 and Over,16 and Over,4,25 and Over,10 - 40,9.394739448167845,1.1218070621435268,1.7864734939988964,0,1,2,0,0,0,0,1,1,1,1,8.284760430121077,32,,1,3,32.37246512598667,12,233.17,1,67,13.9,954.05,1,38.55,2580.75,1,0,0.0,0.0,1,0,0,0,0,0,1,0,1,24,1,0,1,1,1,2-1-1-16 and Over-4,0.3333333333333333,0.0625,0.09999999999999999,0.11499999999999999,0.3333333333333333
3,1,1,64 and Over,12 - 16,6,30 and Over,10 - 40,12.277103352498843,1.5944889814533272,1.2315719944430452,0,1,2,9,3,0,0,0,3,1,0,17.223132038347913,14,,1,3,40.52751349585884,9,297.47,0,72,38.7,2854.9,0,0.0,0.0,1,1,43.25,3159.25,1,1,1,1,1,1,1,1,0,22,1,0,0,1,1,3-1-1-12 - 16-6,0.1,0.018750000000000003,0.03,0.034499999999999996,0.1
1,1,1,54 - 64,16 and Over,4,20 - 25,160 - 200,8.887214240926445,2.248326135854685,12.413340176989264,0,1,3,1,0,1,0,1,2,1,1,70.22403580033624,19,,0,4,20.198984672896955,14,305.94,1,48,4.15,214.85,1,43.15,1990.25,1,1,40.2,1840.45,0,1,1,3,1,1,0,1,1,17,1,1,1,1,0,1-1-1-16 and Over-4,0.3333333333333333,0.0625,0.09999999999999999,0.11499999999999999,0.3333333333333333
5,2,0,54 - 64,12 - 16,6,25 and Over,300 and Over,12.073273289528721,13.112300650114276,32.43437319259818,0,1,2,0,0,0,0,1,3,1,0,87.05825491000981,29,,1,3,36.504737609029334,10,495.75,0,70,34.8,2540.15,0,0.0,0.0,1,0,0.0,0.0,1,1,0,0,1,0,1,1,1,24,0,0,0,0,1,5-2-0-12 - 16-6,0.16666666666666666,0.03125,0.049999999999999996,0.057499999999999996,0.16666666666666666
5,5,1,24 - 34,6 - 12,1,5 and Under,10 - 40,5.097888856670197,0.21025449596037954,1.4540525579085157,0,1,3,10,1,0,0,1,0,-1,-1,0.8905047416617093,30,,0,2,12.788562293772648,17,442.09,1,34,3.45,110.45,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,1,1,1,1,0,16,0,0,0,0,0,5-5-1-6 - 12-1,0.09090909090909091,0.017045454545454544,0.02727272727272727,0.031363636363636364,0.09090909090909091
1,1,1,64 and Over,12 - 16,1,5 - 10,10 - 40,18.099683924914725,0.20638909738402494,2.8923312287409395,0,0,1,0,0,0,0,0,2,1,1,15.846335708445952,23,,0,2,9.41637695120353,1,8.11,1,14,7.3,85.6,1,24.85,341.75,1,0,0.0,0.0,1,0,0,1,0,0,0,0,1,22,1,1,0,0,0,1-1-1-12 - 16-1,0.029411764705882353,0.005514705882352941,0.008823529411764706,0.01014705882352941,0.029411764705882353
3,3,0,54 - 64,12 - 16,1,5 and Under,10 - 40,9.28030260284952,1.1078546650985592,2.716743707854655,0,1,2,0,0,0,0,0,4,0,0,8.923953562227439,34,,0,1,27.596764263408264,8,271.98,0,53,11.2,567.05,0,0.0,0.0,1,0,0.0,0.0,0,1,0,1,1,1,1,1,0,25,1,1,1,0,0,3-3-0-12 - 16-1,0.0625,0.01171875,0.01875,0.0215625,0.0625
2,4,0,64 and Over,16 and Over,2,5 and Under,10 - 40,6.055338427770592,1.4848097699162819,0.8825206109371247,0,1,2,9,0,0,1,0,5,1,0,14.200523670856153,29,,1,1,24.645201006163713,8,267.71,1,59,14.25,805.8,0,0.0,0.0,1,0,0.0,0.0,1,0,1,3,0,1,0,1,0,21,1,0,1,0,0,2-4-0-16 and Over-2,0.08333333333333333,0.015625,0.024999999999999998,0.028749999999999998,0.08333333333333333
4,1,0,54 - 64,12 - 16,6,15 - 20,10 - 40,21.455468062398918,0.6608381442776249,1.327631999980205,0,0,1,0,0,0,0,1,3,1,0,9.411374186037627,25,,0,1,23.676143335525456,10,245.03,0,61,8.35,476.95,1,29.1,1790.8,1,0,0.0,0.0,0,0,0,3,0,1,0,0,0,13,1,0,1,0,0,4-1-0-12 - 16-6,0.14285714285714285,0.026785714285714284,0.04285714285714285,0.04928571428571428,0.14285714285714285
3,4,0,34 - 44,6 - 12,1,5 and Under,10 - 40,15.272455723498904,3.257682090635885,-1.2773692360292537,1,0,1,0,0,0,0,0,0,-1,-1,-0.5542461430078085,29,,0,5,12.195527585422573,17,556.61,1,39,13.1,504.45,1,43.5,1663.95,1,1,31.5,1199.2,1,1,1,4,1,1,1,1,1,21,1,1,1,0,1,3-4-0-6 - 12-1,0.125,0.0234375,0.0375,0.043125,0.125
1,3,0,34 - 44,6 - 12,1,5 and Under,120 - 160,8.548527317630718,4.2060765837317575,10.273123999745234,0,1,4,5,0,0,0,1,2,1,0,49.550313146355045,32,,1,4,2.4622247961991555,12,453.74,0,6,1.5,11.15,0,0.0,0.0,1,0,0.0,0.0,0,0,0,1,1,0,1,1,0,32,1,1,0,0,0,1-3-0-6 - 12-1,0.125,0.0234375,0.0375,0.043125,0.125
4,3,1,64 and Over,12 - 16,3,25 and Over,40 - 80,14.868063700824726,0.8066803647054799,9.116532528282324,0,1,2,0,0,0,0,0,1,1,1,22.984188644861135,27,,0,2,30.324973560388255,6,212.67,0,62,25.45,1565.6,1,47.15,2874.15,1,1,53.2,3245.6,1,1,1,2,1,1,1,1,1,22,1,1,1,0,1,4-3-1-12 - 16-3,0.16666666666666666,0.03125,0.049999999999999996,0.057499999999999996,0.16666666666666666
5,4,1,24 - 34,12 - 16,2,5 and Under,10 - 40,13.349870451068703,1.4154512518404032,1.1822777962597648,1,1,6,1,0,1,0,0,4,0,0,8.372413954191298,27,,0,4,6.779192754043195,14,447.67,1,26,5.8,149.4,1,27.05,728.55,1,0,0.0,0.0,1,0,0,4,0,0,0,0,1,17,1,1,1,1,0,5-4-1-12 - 16-2,0.0625,0.01171875,0.01875,0.0215625,0.0625
2,1,1,24 and Under,16 and Over,6,5 and Under,10 - 40,11.99631710946123,1.0699685593675137,1.2928011228372245,1,0,1,12,0,1,0,1,0,-1,-1,1.6131625778806475,14,,1,4,5.0020081958430085,11,279.95,1,11,3.95,42.4,1,19.65,172.75,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,2-1-1-16 and Over-6,0.1111111111111111,0.020833333333333332,0.03333333333333333,0.03833333333333333,0.1111111111111111
3,1,1,64 and Over,12 - 16,1,25 and Over,10 - 40,10.07188937187939,-0.01541234954181192,1.2720884094884766,0,0,1,2,0,2,0,1,2,1,0,3.557591401549034,21,,0,2,40.717561862622006,10,194.95,1,72,89.45,6495.7,0,0.0,0.0,1,0,0.0,0.0,1,0,0,0,1,1,0,0,0,23,0,0,0,0,1,3-1-1-12 - 16-1,0.05263157894736842,0.009868421052631578,0.015789473684210523,0.018157894736842102,0.05263157894736842
5,3,0,34 - 44,16 and Over,1,5 and Under,10 - 40,15.180731244566777,-0.5541418661380633,3.607780182519456,0,0,1,7,0,0,0,1,3,1,0,8.626616246638816,24,,1,1,9.628856682918546,11,300.97,0,37,6.7,233.85,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,15,1,1,1,0,0,5-3-0-16 and Over-1,0.25,0.046875,0.075,0.08625,0.25
3,5,0,54 - 64,12 - 16,3,20 - 25,40 - 80,8.031659082859978,-0.40599324727232294,4.873815707267653,0,0,1,9,2,0,0,1,4,1,0,34.68778152370953,25,,0,2,22.5191494771932,11,394.02,0,47,12.25,524.4,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,1,1,0,25,1,0,1,0,1,3-5-0-12 - 16-3,0.16666666666666666,0.03125,0.049999999999999996,0.057499999999999996,0.16666666666666666
2,2,1,54 - 64,16 and Over,1,10 - 15,40 - 80,7.326951243927173,1.7416492549744431,3.702510477149302,0,1,2,2,2,0,0,0,2,1,0,26.117737056694356,26,,0,4,38.63484244882804,9,112.47,1,71,36.35,2586.85,1,55.15,4064.25,1,1,55.8,3819.5,1,1,1,4,0,0,1,0,1,20,1,1,1,1,1,2-2-1-16 and Over-1,0.07692307692307693,0.014423076923076924,0.023076923076923078,0.02653846153846154,0.07692307692307693
1,1,1,54 - 64,6 - 12,2,5 and Under,10 - 40,2.43058636962851,0.654780463676471,0.7316438679050796,0,1,4,1,0,1,0,0,0,-1,-1,4.1521388398240795,15,,0,2,3.9120056292044256,11,342.17,0,3,5.5,19.35,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,1,1,1,1,0,29,0,0,0,0,0,1-1-1-6 - 12-2,0.037037037037037035,0.006944444444444444,0.01111111111111111,0.012777777777777777,0.037037037037037035
